title,price_base,cpu_cores,cpu_threads,ram_size,storage_size,screen_size,raw_specs_count,ram_type_DDR3,ram_type_DDR3L,ram_type_DDR4,ram_type_DDR4X,ram_type_DDR5,ram_type_DDR5X,ram_type_DDR6,ram_type_RAM_TYPE,brand_score,cpu_gen,cpu_performance_score,cpu_brand_Intel,cpu_brand_AMD,gpu_vram,gpu_brand_te,gpu_class_te,screen_brightness_nits,screen_srgb_percent,screen_ntsc_percent,screen_anti_glare,battery_wh,battery_cells,res_width,res_height,res_total_pixels,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_NVIDIA,gpu_brand_Other,gpu_brand_Unknown,gpu_class_Discrete,gpu_class_Integrated,gpu_class_Unknown
Laptop Lenovo Yoga Pro 7 14IMH9 83E2005DVN,45990000,,,32,1024,14.5,28,0,0,0,0,0,1,0,0,17.96314815,0,40,1,0,6,22439261.99,22025531.55,400,100,45,0,73,3,2880,1800,5184000,0,0,1,0,0,1,0,0
Laptop Dell Vostro 13 5310 YV5WY1,22990000,,,8,512,13.3,19,0,0,0,1,0,0,0,0,14.56805085,0,40,1,0,0,13757866.76,13710496.13,300,100,45,0,54,4,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop ASUS ExpertBook P2451FA-EK1620T,17990000,,,8,512,14,21,0,0,1,0,0,0,0,0,19.29295488,10,72,1,0,0,13792440.69,13719959.95,300,100,45,0,48,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Surface Pro 9 i7 16GB 256GB,41990000,10,12,16,256,13,22,0,0,0,0,0,1,0,0,25.05666667,0,40,1,0,0,13792440.69,13719959.95,300,100,45,0,7,3,2880,1920,5529600,0,1,0,0,0,0,1,0
Laptop ASUS TUF Gaming F15 FX507VI-LP088W,40990000,10,,32,512,15.6,24,0,0,0,0,1,0,0,0,19.29295488,0,40,1,0,8,22506376.81,22179527.09,250,100,72,1,90,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS Flip BR1100FKA-BP1135W,6990000,,,8,128,11.6,22,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13792440.69,13719959.95,300,100,45,0,48,3,1366,768,1049088,0,1,0,0,0,0,1,0
Laptop Lenovo ThinkBook 14 G5+,13090000,,,16,512,14,22,0,0,0,0,1,0,0,0,17.96314815,13,115.7,0,0,0,13841510.26,13704626.75,300,100,45,0,62,3,2880,1800,5184000,0,1,0,0,0,0,1,0
Laptop Lenovo Yoga Slim 7 14ILL10 83JX0086VN,29490000,8,8,16,512,14,28,0,0,0,0,0,1,0,0,17.96314815,0,40,1,0,0,13841510.26,13704626.75,1100,100,45,0,70,3,2880,1800,5184000,0,1,0,0,0,0,1,0
Laptop Lenovo Ideapad 1 11IGL05,10490000,,,4,256,11.6,18,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,0,13654235.33,13630870.22,300,100,45,0,32,2,1366,768,1049088,0,1,0,0,0,0,1,0
Laptop Acer Aspire 3 A315-56-34AY,6890000,,,4,512,15.6,11,0,0,1,0,0,0,0,0,13.98517266,0,40,0,0,0,13899279.02,13824684.62,300,100,45,0,48,3,1080,1920,2073600,0,1,0,0,0,0,1,0
Laptop ASUS Gaming ROG Zephyrus G14 GA401QC,36990000,,,16,512,14,19,0,0,1,0,0,0,0,0,19.29295488,5,114.75,0,1,4,22581061.71,22201242.5,300,100,72,0,76,4,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP Envy X360 2IN1 14-FC0086TU A19BWPA,35290000,12,,32,512,14,23,0,0,0,0,1,0,0,0,13.10868263,0,40,1,0,0,13899279.02,13824684.62,300,100,45,0,16,3,2880,1800,5184000,0,1,0,0,0,0,1,0
Laptop Lenovo Ideapad Slim 3 14IIL05,10990000,,,4,256,14,20,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,0,13841510.26,13704626.75,250,100,45,0,35,2,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS TUF Gaming FA506IH-AL018T,20490000,,,,512,15.6,14,0,0,0,0,0,0,0,0,19.29295488,4,80.6,0,0,4,22768891.99,22340518,250,63,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop MSI Gaming Bravo 15 B7ED-010VN,18490000,6,12,16,512,15.6,24,0,0,0,0,1,0,0,0,19.22594366,0,50,0,1,4,13296713.48,21948747.84,300,100,45,0,5,3,1920,1080,2073600,1,0,0,0,0,1,0,0
Laptop HP Pavilion Aero 13-BE0229AU 64U91PA,25290000,,,8,512,13.3,22,0,0,1,0,0,0,0,0,13.10868263,5,76.5,0,1,0,13343287.67,13719959.95,400,100,45,1,43,3,1920,1200,2304000,1,0,0,0,0,0,1,0
Laptop HP ProBook 430 G8 2H0P0PA,25990000,,,8,512,13.3,21,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13899279.02,13824684.62,300,100,45,0,45,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Xiaomi RedmiBook 15 JYU4505AP,12990000,,,8,256,15.6,20,0,0,1,0,0,0,0,0,8.75,0,40,1,0,0,13654235.33,13630870.22,300,100,45,0,46,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo LOQ 15IAX9 83GS001CUS,14590000,8,12,12,512,15.6,18,0,0,0,0,1,0,0,0,17.96314815,0,40,1,0,6,22768891.99,22340518,300,100,45,1,60,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP 240 G8 518V5PA,16300000,,8,4,256,14,18,0,0,1,0,0,0,0,0,13.10868263,1,53,1,0,0,13654235.33,13630870.22,250,100,45,0,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop HP Gaming Victus 15-FA0031DX 6503849,18500000,8,,8,512,15.6,22,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,22581061.71,22201242.5,300,100,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS Gaming ROG Strix G17 G713QM-HX083T,38990000,,,16,1024,17.3,18,0,0,1,0,0,0,0,0,19.29295488,5,110.5,0,1,6,22581061.71,22201242.5,300,100,45,0,90,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Dell Inspiron 3501 70253897,22490000,,8,8,512,15.6,17,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,2,22768891.99,22340518,220,100,45,1,42,3,1080,1920,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo Ideapad S340-13IML,12990000,,,8,512,13.3,20,1,0,0,0,0,0,0,0,17.96314815,0,40,1,0,0,13654235.33,13630870.22,300,100,72,0,48,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS VivoBook X415EA-EK675T-,13490000,,,4,256,14,20,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13792440.69,13719959.95,250,100,45,0,37,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo Yoga Slim 7 15ILL9 83HM000GVN,42990000,,,32,1024,15.3,29,0,0,0,0,0,1,0,0,17.96314815,0,40,1,0,0,13841510.26,13704626.75,500,100,45,0,70,3,2880,1800,5184000,0,1,0,0,0,0,1,0
Laptop ASUS TUF Gaming FX505DV-0081B3750H,7590000,,,16,512,15.6,22,0,0,1,0,0,0,0,0,19.29295488,0,40,0,1,6,22439261.99,22025531.55,300,100,45,1,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Acer Nitro 5 AN515-44-R9JM NH.Q9MSV.003,20999000,,12,8,512,15.6,18,0,0,1,0,0,0,0,0,13.98517266,0,40,0,1,4,22506376.81,22179527.09,300,100,45,0,57,3,1920,1080,2073600,0,0,1,0,0,1,0,0
